userid,group,page,data,time_created
user_28,chatxai,training_mace_gif,{},2023-07-05 15:42:28.880 +0200
user_168,chatxai,training_mace_gif,{},2023-07-05 15:50:39.190 +0200
user_169,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""4"", ""ati3"": ""2"", ""ati4"": ""3"", ""ati5"": ""4"", ""ati6"": ""4"", ""ati7"": ""3"", ""ati8"": ""4"", ""ati9"": ""3"", ""attnAti"": ""5""}",2023-07-05 15:42:31.305 +0200
user_67,chatxai,training_decisiontree,{},2023-07-05 15:43:14.651 +0200
user_67,chatxai,training_decisiontree_gif,{},2023-07-05 15:43:29.319 +0200
user_176,chatxai,training_post,"{""explainerData"": {""chatJourney"": [{""step"": 1, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:39:49.411Z""}, {""step"": 2, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Loan Amount Term""]}]}}, ""timeline"": ""2023-07-05T13:40:28.191Z""}, {""step"": 3, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Loan Amount""]}]}}, ""timeline"": ""2023-07-05T13:40:44.379Z""}, {""step"": 4, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Credit History""]}]}}, ""timeline"": ""2023-07-05T13:41:03.428Z""}, {""step"": 5, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:41:42.148Z""}, {""step"": 6, ""level"": ""whatIfResultLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""2"", ""Graduate"", ""No"", 11714, 1126, 225, 36, ""Yes"", ""Urban""]], ""operation"": ""whatif""}]}}, ""timeline"": ""2023-07-05T13:42:34.092Z""}, {""step"": 7, ""level"": ""featureImpLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""2"", ""Graduate"", ""No"", 11714, 1126, 225, 360, ""Yes"", ""Urban""]], ""operation"": ""shap""}]}}, ""timeline"": ""2023-07-05T13:42:48.329Z""}, {""step"": 8, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:43:22.258Z""}], ""chatSessionMetadata"": {""pdp"": 5, ""shap"": 1, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 1, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 0, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""true"", ""postExplainFeatures"": [""Credit History"", ""Coapplicant Income"", ""Applicant Income""], ""postExplainConfidence"": ""5"", ""postExplainReliability"": ""4""}",2023-07-05 15:43:30.822 +0200
user_28,chatxai,training_whatif,{},2023-07-05 15:43:31.738 +0200
user_218,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""6"", ""ati3"": ""4"", ""ati4"": ""6"", ""ati5"": ""6"", ""ati6"": ""1"", ""ati7"": ""6"", ""ati8"": ""2"", ""ati9"": ""6"", ""attnAti"": ""5""}",2023-07-05 15:43:40.028 +0200
user_67,chatxai,training_shap,{},2023-07-05 15:43:46.365 +0200
user_67,chatxai,training_shap_gif,{},2023-07-05 15:43:51.616 +0200
user_28,chatxai,training_whatif_gif,{},2023-07-05 15:43:56.202 +0200
user_67,chatxai,training_pdp,{},2023-07-05 15:43:57.898 +0200
user_67,chatxai,training_pdp_gif,{},2023-07-05 15:44:00.217 +0200
user_67,chatxai,training_mace,{},2023-07-05 15:44:06.349 +0200
user_28,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:44:07.974 +0200
user_67,chatxai,training_mace_gif,{},2023-07-05 15:44:08.134 +0200
user_176,chatxai,task1_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Coapplicant Income"", ""Credit History"", ""Loan Amount Term""], ""beforeExplainConfidence"": ""5""}",2023-07-05 15:44:09.086 +0200
user_67,chatxai,training_whatif,{},2023-07-05 15:44:11.617 +0200
user_67,chatxai,training_whatif_gif,{},2023-07-05 15:44:12.817 +0200
user_67,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:44:25.267 +0200
user_40,chatxai,ati,"{""ati1"": ""3"", ""ati2"": ""3"", ""ati3"": ""2"", ""ati4"": ""3"", ""ati5"": ""4"", ""ati6"": ""5"", ""ati7"": ""3"", ""ati8"": ""4"", ""ati9"": ""4"", ""attnAti"": ""5""}",2023-07-05 15:44:36.225 +0200
user_188,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""6"", ""ati3"": ""2"", ""ati4"": ""5"", ""ati5"": ""6"", ""ati6"": ""2"", ""ati7"": ""6"", ""ati8"": ""2"", ""ati9"": ""5"", ""attnAti"": ""5""}",2023-07-05 15:44:50.116 +0200
user_28,chatxai,training_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Credit History"", ""Loan Amount"", ""Applicant Income""], ""beforeExplainConfidence"": ""4""}",2023-07-05 15:44:59.744 +0200
user_218,chatxai,training_decisiontree,{},2023-07-05 15:45:01.734 +0200
user_169,chatxai,training_decisiontree,{},2023-07-05 15:45:07.095 +0200
user_77,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:45:10.469 +0200
user_218,chatxai,training_decisiontree_gif,{},2023-07-05 15:45:27.330 +0200
user_176,chatxai,task1_post,"{""explainerData"": {""chatJourney"": [{""step"": 9, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:44:09.144Z""}, {""step"": 10, ""level"": ""whatIfResultLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""2"", ""Graduate"", ""No"", 2708, 1167, 97, 360, ""Yes"", ""Semiurban""]], ""operation"": ""whatif""}]}}, ""timeline"": ""2023-07-05T13:44:42.278Z""}, {""step"": 11, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:45:13.284Z""}, {""step"": 12, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Credit History""]}]}}, ""timeline"": ""2023-07-05T13:45:28.258Z""}], ""chatSessionMetadata"": {""pdp"": 2, ""shap"": 0, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 1, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 0, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""true"", ""postExplainFeatures"": [""Credit History"", ""Coapplicant Income"", ""Applicant Income""], ""postExplainConfidence"": ""5"", ""postExplainReliability"": ""5""}",2023-07-05 15:45:41.042 +0200
user_67,chatxai,training_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Applicant Income"", ""Credit History"", ""Loan Amount""], ""beforeExplainConfidence"": ""4""}",2023-07-05 15:45:49.109 +0200
user_169,chatxai,training_decisiontree_gif,{},2023-07-05 15:45:55.996 +0200
user_176,chatxai,task10_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Applicant Income"", ""Credit History"", ""Coapplicant Income""], ""beforeExplainConfidence"": ""5""}",2023-07-05 15:45:56.318 +0200
user_218,chatxai,training_shap,{},2023-07-05 15:46:03.801 +0200
user_218,chatxai,training_shap_gif,{},2023-07-05 15:46:17.868 +0200
user_168,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:46:17.885 +0200
user_150,chatxai,consent,"{""mlbackground"": ""true"", ""userAgreement2"": ""true""}",2023-07-05 15:46:25.079 +0200
user_77,chatxai,ati,"{""ati1"": ""2"", ""ati2"": ""2"", ""ati3"": ""5"", ""ati4"": ""2"", ""ati5"": ""2"", ""ati6"": ""5"", ""ati7"": ""2"", ""ati8"": ""5"", ""ati9"": ""4"", ""attnAti"": ""5""}",2023-07-05 15:46:28.179 +0200
user_228,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:46:31.915 +0200
user_169,chatxai,training_shap,{},2023-07-05 15:46:39.398 +0200
user_132,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:46:54.783 +0200
user_168,chatxai,training_pdp_gif,{},2023-07-05 15:49:20.752 +0200
user_193,chatxai,consent,"{""mlbackground"": ""true"", ""userAgreement2"": ""true""}",2023-07-05 15:46:55.826 +0200
user_77,chatxai,training_decisiontree,{},2023-07-05 15:46:58.387 +0200
user_169,chatxai,training_shap_gif,{},2023-07-05 15:47:03.506 +0200
user_77,chatxai,training_decisiontree_gif,{},2023-07-05 15:47:15.105 +0200
user_77,chatxai,training_shap,{},2023-07-05 15:47:20.934 +0200
user_169,chatxai,training_pdp,{},2023-07-05 15:47:21.360 +0200
user_168,chatxai,ati,"{""ati1"": ""4"", ""ati2"": ""4"", ""ati3"": ""2"", ""ati4"": ""4"", ""ati5"": ""5"", ""ati6"": ""6"", ""ati7"": ""4"", ""ati8"": ""4"", ""ati9"": ""4"", ""attnAti"": ""5""}",2023-07-05 15:47:21.435 +0200
user_188,chatxai,training_decisiontree,{},2023-07-05 15:47:24.108 +0200
user_150,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""5"", ""ati3"": ""2"", ""ati4"": ""5"", ""ati5"": ""5"", ""ati6"": ""2"", ""ati7"": ""6"", ""ati8"": ""2"", ""ati9"": ""6"", ""attnAti"": ""5""}",2023-07-05 15:47:26.080 +0200
user_218,chatxai,training_pdp,{},2023-07-05 15:47:28.064 +0200
user_77,chatxai,training_shap_gif,{},2023-07-05 15:47:31.935 +0200
user_77,chatxai,training_pdp,{},2023-07-05 15:47:35.726 +0200
user_169,chatxai,training_pdp_gif,{},2023-07-05 15:47:41.156 +0200
user_77,chatxai,training_pdp_gif,{},2023-07-05 15:47:42.452 +0200
user_176,chatxai,task10_post,"{""explainerData"": {""chatJourney"": [{""step"": 13, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:45:56.352Z""}, {""step"": 14, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Credit History""]}]}}, ""timeline"": ""2023-07-05T13:46:32.352Z""}, {""step"": 15, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Coapplicant Income""]}]}}, ""timeline"": ""2023-07-05T13:46:48.708Z""}, {""step"": 16, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Applicant Income""]}]}}, ""timeline"": ""2023-07-05T13:47:19.342Z""}, {""step"": 17, ""level"": ""whatIfResultLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""3+"", ""Graduate"", ""No"", 81000, 0, 360, 360, ""No"", ""Rural""]], ""operation"": ""whatif""}]}}, ""timeline"": ""2023-07-05T13:47:36.767Z""}], ""chatSessionMetadata"": {""pdp"": 3, ""shap"": 0, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 1, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 0, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""false"", ""postExplainFeatures"": [""Credit History"", ""Loan Amount"", ""Coapplicant Income""], ""postExplainConfidence"": ""5"", ""postExplainReliability"": ""5""}",2023-07-05 15:47:45.572 +0200
user_77,chatxai,training_mace,{},2023-07-05 15:47:49.531 +0200
user_188,chatxai,training_decisiontree_gif,{},2023-07-05 15:47:52.036 +0200
user_193,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""5"", ""ati3"": ""5"", ""ati4"": ""5"", ""ati5"": ""4"", ""ati6"": ""2"", ""ati7"": ""5"", ""ati8"": ""2"", ""ati9"": ""5"", ""attnAti"": ""5""}",2023-07-05 15:47:54.899 +0200
user_228,chatxai,ati,"{""ati1"": ""4"", ""ati2"": ""4"", ""ati3"": ""4"", ""ati4"": ""4"", ""ati5"": ""3"", ""ati6"": ""3"", ""ati7"": ""4"", ""ati8"": ""4"", ""ati9"": ""3"", ""attnAti"": ""5""}",2023-07-05 15:47:54.949 +0200
user_77,chatxai,training_mace_gif,{},2023-07-05 15:47:59.557 +0200
user_168,chatxai,training_decisiontree,{},2023-07-05 15:48:01.499 +0200
user_77,chatxai,training_whatif,{},2023-07-05 15:48:01.847 +0200
user_77,chatxai,training_whatif_gif,{},2023-07-05 15:48:03.956 +0200
user_169,chatxai,training_mace,{},2023-07-05 15:48:11.804 +0200
user_77,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:48:12.486 +0200
user_168,chatxai,training_decisiontree_gif,{},2023-07-05 15:48:16.689 +0200
user_215,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:48:25.667 +0200
user_168,chatxai,training_shap,{},2023-07-05 15:48:38.730 +0200
user_169,chatxai,training_mace_gif,{},2023-07-05 15:48:38.885 +0200
user_176,chatxai,task8_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Credit History"", ""Loan Amount"", ""Loan Amount Term""], ""beforeExplainConfidence"": ""3""}",2023-07-05 15:48:42.383 +0200
user_168,chatxai,training_shap_gif,{},2023-07-05 15:48:46.746 +0200
user_40,chatxai,training_decisiontree,{},2023-07-05 15:48:49.637 +0200
user_132,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""6"", ""ati3"": ""2"", ""ati4"": ""6"", ""ati5"": ""5"", ""ati6"": ""2"", ""ati7"": ""6"", ""ati8"": ""3"", ""ati9"": ""5"", ""attnAti"": ""5""}",2023-07-05 15:48:53.205 +0200
user_168,chatxai,training_pdp,{},2023-07-05 15:48:59.265 +0200
user_169,chatxai,training_whatif,{},2023-07-05 15:49:01.369 +0200
user_188,chatxai,training_shap,{},2023-07-05 15:49:11.469 +0200
user_228,chatxai,training_decisiontree,{},2023-07-05 15:49:19.182 +0200
user_77,chatxai,training_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Applicant Income"", ""Education"", ""Credit History""], ""beforeExplainConfidence"": ""1""}",2023-07-05 15:49:22.978 +0200
user_218,chatxai,training_pdp_gif,{},2023-07-05 15:49:26.345 +0200
user_188,chatxai,training_shap_gif,{},2023-07-05 15:49:26.432 +0200
user_169,chatxai,training_whatif_gif,{},2023-07-05 15:49:27.407 +0200
user_228,chatxai,training_decisiontree_gif,{},2023-07-05 15:49:32.791 +0200
user_40,chatxai,training_decisiontree_gif,{},2023-07-05 15:49:36.493 +0200
user_169,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:49:49.250 +0200
user_228,chatxai,training_shap,{},2023-07-05 15:49:49.503 +0200
user_166,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:49:52.803 +0200
user_176,chatxai,task8_post,"{""explainerData"": {""chatJourney"": [{""step"": 18, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:48:42.416Z""}, {""step"": 19, ""level"": ""whatIfResultLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""No"", ""0"", ""Not Graduate"", ""Yes"", 5800, 0, 132, 360, ""Yes"", ""Semiurban""]], ""operation"": ""whatif""}]}}, ""timeline"": ""2023-07-05T13:48:57.034Z""}, {""step"": 20, ""level"": ""counterfactualLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""No"", ""0"", ""Not Graduate"", ""Yes"", 5800, 0, 132, 360, ""Yes"", ""Semiurban""]], ""operation"": ""mace""}]}}, ""timeline"": ""2023-07-05T13:49:08.975Z""}, {""step"": 21, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Loan Amount Term""]}]}}, ""timeline"": ""2023-07-05T13:49:45.289Z""}], ""chatSessionMetadata"": {""pdp"": 1, ""shap"": 0, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 1, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 1, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""true"", ""postExplainFeatures"": [""Credit History"", ""Loan Amount Term"", ""Applicant Income""], ""postExplainConfidence"": ""3"", ""postExplainReliability"": ""4""}",2023-07-05 15:49:55.820 +0200
user_168,chatxai,training_mace,{},2023-07-05 15:49:56.167 +0200
user_28,chatxai,training_post,"{""explainerData"": {""chatJourney"": [{""step"": 1, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:45:00.428Z""}, {""step"": 2, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Education""]}]}}, ""timeline"": ""2023-07-05T13:45:58.284Z""}, {""step"": 3, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Applicant Income""]}]}}, ""timeline"": ""2023-07-05T13:46:33.599Z""}, {""step"": 4, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Loan Amount""]}]}}, ""timeline"": ""2023-07-05T13:47:29.380Z""}, {""step"": 5, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:47:47.326Z""}, {""step"": 6, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Gender""]}]}}, ""timeline"": ""2023-07-05T13:48:06.481Z""}, {""step"": 7, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Credit History""]}]}}, ""timeline"": ""2023-07-05T13:48:24.461Z""}, {""step"": 8, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Property Area""]}]}}, ""timeline"": ""2023-07-05T13:48:44.027Z""}, {""step"": 9, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Self Employed""]}]}}, ""timeline"": ""2023-07-05T13:49:07.706Z""}, {""step"": 10, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Coapplicant Income""]}]}}, ""timeline"": ""2023-07-05T13:49:22.911Z""}, {""step"": 11, ""level"": ""featureImpLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""2"", ""Graduate"", ""No"", 11714, 1126, 225, 360, ""Yes"", ""Urban""]], ""operation"": ""shap""}]}}, ""timeline"": ""2023-07-05T13:49:47.649Z""}, {""step"": 12, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Married""]}]}}, ""timeline"": ""2023-07-05T13:50:05.550Z""}], ""chatSessionMetadata"": {""pdp"": 10, ""shap"": 1, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 0, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 0, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""true"", ""postExplainFeatures"": [""Loan Amount"", ""Applicant Income"", ""Education""], ""postExplainConfidence"": ""4"", ""postExplainReliability"": ""5""}",2023-07-05 15:50:05.402 +0200
user_188,chatxai,training_pdp,{},2023-07-05 15:50:15.388 +0200
user_228,chatxai,training_shap_gif,{},2023-07-05 15:50:23.183 +0200
user_67,chatxai,training_post,"{""explainerData"": {""chatJourney"": [{""step"": 1, ""level"": ""predLv"", ""payload"": ""{}"", ""timeline"": ""2023-07-05T13:45:49.185Z""}, {""step"": 2, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Applicant Income""]}]}}, ""timeline"": ""2023-07-05T13:46:51.911Z""}, {""step"": 3, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:47:12.500Z""}, {""step"": 4, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Education""]}]}}, ""timeline"": ""2023-07-05T13:48:03.477Z""}, {""step"": 5, ""level"": ""globalExplainerResultLv"", ""payload"": {""data"": {""instances"": [{""operation"": ""pdp"", ""attributes"": [""Dependents""]}]}}, ""timeline"": ""2023-07-05T13:48:29.748Z""}, {""step"": 6, ""level"": ""whatIfResultLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""0"", ""Graduate"", ""No"", 11714, 1126, 225, 180, ""Yes"", ""Urban""]], ""operation"": ""whatif""}]}}, ""timeline"": ""2023-07-05T13:49:26.639Z""}, {""step"": 7, ""level"": ""featureImpLv"", ""payload"": {""data"": {""instances"": [{""input"": [[""Male"", ""Yes"", ""2"", ""Graduate"", ""No"", 11714, 1126, 225, 360, ""Yes"", ""Urban""]], ""operation"": ""shap""}]}}, ""timeline"": ""2023-07-05T13:49:47.760Z""}], ""chatSessionMetadata"": {""pdp"": 4, ""shap"": 1, ""input"": """", ""actual"": null, ""userId"": """", ""whatIf"": 1, ""comment"": """", ""modelStats"": 0, ""prediction"": """", ""userChoice"": """", ""decisionTree"": 0, ""counterFactual"": 0, ""decisionFeatures"": [""""]}}, ""postExplainDecision"": ""true"", ""postExplainFeatures"": [""Credit History"", ""Coapplicant Income"", ""Dependents""], ""postExplainConfidence"": ""4"", ""postExplainReliability"": ""4""}",2023-07-05 15:50:23.348 +0200
user_228,chatxai,training_pdp,{},2023-07-05 15:50:32.275 +0200
user_218,chatxai,training_mace,{},2023-07-05 15:50:33.503 +0200
user_176,chatxai,attn,"{""beforeExplainFeatures"": [""Applicant Income"", ""Coapplicant Income"", ""Loan Amount""], ""beforeExplainConfidence"": ""5"", ""attnBeforeExplainDecision"": ""true""}",2023-07-05 15:50:39.526 +0200
user_188,chatxai,training_pdp_gif,{},2023-07-05 15:50:41.074 +0200
user_168,chatxai,training_whatif,{},2023-07-05 15:50:44.631 +0200
user_218,chatxai,training_mace_gif,{},2023-07-05 15:50:50.097 +0200
user_168,chatxai,training_whatif_gif,{},2023-07-05 15:50:53.816 +0200
user_228,chatxai,training_pdp_gif,{},2023-07-05 15:50:57.586 +0200
user_176,chatxai,task3_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Credit History"", ""Loan Amount"", ""Coapplicant Income""], ""beforeExplainConfidence"": ""5""}",2023-07-05 15:51:01.291 +0200
user_218,chatxai,training_whatif,{},2023-07-05 15:51:01.989 +0200
user_218,chatxai,training_whatif_gif,{},2023-07-05 15:51:06.085 +0200
user_168,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:51:06.089 +0200
user_228,chatxai,training_mace,{},2023-07-05 15:51:10.616 +0200
user_219,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:51:16.656 +0200
user_67,chatxai,task9_pre,"{""beforeExplainDecision"": ""false"", ""beforeExplainFeatures"": [""Credit History"", ""Loan Amount Term"", ""Dependents""], ""beforeExplainConfidence"": ""4""}",2023-07-05 15:51:22.413 +0200
user_13,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:51:22.672 +0200
user_193,chatxai,training_decisiontree,{},2023-07-05 15:51:24.939 +0200
